height,weight,chest_size,waist_size,size
183.96,111.2,L,L,XXL
161.6,53.2,S,S,S
182.62,83.8,L,L,XL
162.89,67.0,L,L,M
166.92,57.4,M,L,M
180.17,90.7,L,L,XL
171.59,78.6,,,XL
166.25,61.5,S,L,M
163.96,61.9,M,M,M
180.09,103.2,L,L,XXL
181.03,87.3,L,L,XL
184.19,90.5,L,L,XXL
169.73,64.7,M,M,M
174.3,73.0,L,L,L
166.37,63.2,S,,M
168.25,68.6,S,M,M
169.14,61.4,M,M,M
156.68,52.7,S,S,S
160.54,53.0,M,M,S
177.82,87.2,L,L,XL
184.72,84.3,L,L,XL
184.86,79.6,L,L,XL
176.36,86.5,,L,XL
180.44,93.0,L,,XL
178.3,74.4,M,M,L
180.32,79.5,L,L,XL
153.05,52.6,S,M,S
160.54,52.2,S,S,S
179.61,80.5,L,L,XL
177.05,87.4,,L,XL
173.22,75.0,L,L,L
156.57,54.2,M,S,S
184.9,98.5,,,XXL
155.87,53.0,M,,S
182.05,81.6,L,L,XL
178.84,78.1,L,L,XL
157.71,55.5,S,M,S
175.32,73.3,L,L,L
155.19,52.9,,S,S
175.2,77.0,L,M,L
158.71,55.4,S,S,S
174.25,68.5,L,M,L
168.54,66.5,M,M,M
183.21,100.5,,L,XXL
150.27,50.9,S,S,S
175.45,73.3,L,L,L
168.44,56.9,,M,M
188.21,99.8,L,,XXL
181.53,85.1,L,L,XL
175.09,72.6,L,M,L
178.46,70.1,L,,L
169.21,64.5,L,L,M
162.87,58.5,,,S
178.52,69.5,L,M,L
185.75,107.8,L,L,XXL
183.12,93.5,L,L,XL
164.34,64.7,M,M,M
174.83,76.1,,M,L
164.94,65.7,M,S,M
158.08,51.5,S,,S
172.06,71.0,L,M,L
173.76,74.3,L,L,L
166.68,58.2,M,M,M
176.15,67.8,M,L,L
184.12,102.8,,,XXL
169.43,60.7,M,M,M
184.41,103.3,L,,XXL
188.34,100.8,L,L,XXL
186.45,86.3,L,L,XL
174.1,74.2,M,,L
179.21,87.4,L,L,XL
165.02,63.2,L,L,M
186.03,107.9,,L,XXL
177.94,91.8,L,,XL
183.97,91.4,L,L,XL
184.94,105.4,L,L,XXL
159.42,52.1,,M,S
166.01,62.6,M,L,M
164.01,63.2,S,L,M
172.04,73.1,L,M,L
172.21,74.0,,L,L
175.03,74.0,L,L,L
176.51,77.6,M,,L
167.1,61.5,S,S,M
170.27,62.5,M,,M
181.35,88.0,L,L,XL
177.73,94.6,L,L,XXL
182.77,105.0,L,L,XXL
183.41,86.2,,L,XL
173.97,64.4,L,M,M
180.03,109.3,L,L,XXL
168.04,56.0,M,L,M
188.04,95.2,L,L,XXL
174.26,68.4,M,M,L
160.93,61.8,M,M,M
163.58,60.1,S,M,M
157.2,52.3,S,M,S
174.59,74.5,L,,L
179.59,82.2,L,L,XL
156.18,49.9,,S,S
182.0,85.2,L,,XL
175.59,74.3,M,L,L
157.77,55.7,S,M,S
157.68,54.8,M,S,S
170.58,64.4,M,M,M
159.11,53.6,S,,S
155.99,54.0,M,S,S
187.42,84.8,L,L,XL
179.5,80.0,,L,XL
167.05,65.4,S,M,M
152.24,48.9,,S,S
166.11,64.3,S,S,M
154.85,50.5,M,S,S
165.07,60.2,M,M,M
152.63,53.2,S,S,S
185.7,109.7,L,,XXL
157.19,53.5,M,S,S
152.5,52.7,M,S,S
185.49,83.0,L,,XL
154.33,52.1,M,S,S
162.0,50.1,,M,S
171.61,72.0,,L,L
167.38,62.1,,S,M
169.92,60.4,S,,M
180.46,81.4,L,L,XL
190.75,104.5,L,L,XXL
186.62,110.4,,,XXL
175.3,75.1,M,L,L
166.45,60.7,S,M,M
186.69,105.1,L,L,XXL
153.39,49.0,,M,S
185.67,85.9,L,,XL
178.88,103.0,L,,XXL
180.09,104.8,L,L,XXL
180.6,104.8,L,,XXL
158.64,52.6,,M,S
161.57,51.0,S,S,S
159.7,49.0,S,S,S
176.34,69.6,L,L,L
178.92,70.4,L,L,L
157.62,50.9,S,S,S
159.95,47.6,M,,S
179.16,90.4,L,,XL
175.36,102.8,L,L,XXL
176.68,85.9,L,,XL
160.42,66.8,M,M,M
156.67,54.1,S,S,S
176.76,116.9,L,,XXL
169.99,58.4,M,S,M
167.29,64.0,M,M,M
182.97,84.5,L,L,XL
167.82,58.4,M,M,M
174.01,69.6,M,L,L
175.67,88.4,L,,XL
169.13,60.6,L,M,M
159.55,52.4,M,S,S
174.74,72.5,M,,L
168.01,65.3,L,,M
177.62,86.7,L,L,XL
167.95,64.0,M,,M
176.82,81.2,,L,XL
179.25,82.6,,L,XL
179.76,88.8,L,L,XL
185.27,104.9,L,L,XXL
179.99,98.6,L,L,XXL
180.26,112.7,,L,XXL
177.9,72.3,L,M,L
182.55,77.5,L,L,XL
169.03,61.3,M,L,M
158.66,51.5,S,S,S
185.44,89.4,L,L,XL
182.08,83.3,,L,XL
167.53,66.7,L,M,M
164.8,60.5,M,L,M
167.37,62.8,,S,M
167.87,60.8,S,M,M
178.34,72.9,L,L,L
172.47,90.3,L,L,XL
181.9,82.6,L,L,XL
182.38,85.5,L,L,XL
174.48,109.8,L,L,XXL
173.38,72.0,M,M,L
178.98,83.5,L,L,XL
173.18,73.2,L,M,L
175.16,70.1,L,L,L
167.06,60.1,S,M,M
167.85,65.6,M,M,M
158.36,45.9,,S,S
168.58,60.7,,M,M
176.4,73.1,,M,L
175.06,76.0,M,L,L
166.91,61.6,,L,M
166.73,64.8,,M,M
183.2,102.4,L,L,XXL
183.2,92.1,L,L,XL
184.47,118.6,L,,XXL
153.69,50.8,M,S,S
171.05,64.3,M,M,M
168.07,68.5,M,,M
159.63,53.6,S,,S
158.51,57.0,M,S,S
178.82,74.2,L,M,L
175.02,75.4,M,M,L
166.78,64.3,M,,M
166.4,65.4,L,M,M
160.86,53.5,S,S,S
156.98,50.8,M,M,S
157.15,54.8,S,S,S
157.24,52.9,M,M,S
159.12,52.0,S,S,S
159.95,53.4,S,S,S
167.01,61.2,S,M,M
167.84,61.4,S,,M
177.32,88.5,,L,XL
177.39,101.5,L,,XXL
184.1,90.0,L,L,XL
184.68,90.9,L,L,XL
169.72,60.7,S,M,M
177.46,71.5,L,L,L
176.92,84.9,L,L,XL
175.99,71.7,,L,L
167.76,65.6,M,,M
176.96,70.6,L,M,L
173.2,70.6,,M,L
182.36,83.3,L,L,XL
165.46,60.2,M,M,M
159.59,50.1,S,S,S
182.84,108.8,,L,XXL
183.94,83.8,L,L,XL
166.43,63.6,S,L,M
179.44,105.0,L,L,XXL
173.53,73.6,L,L,L
183.84,87.4,L,L,XL
168.1,62.1,M,M,M
156.76,53.2,S,S,S
178.69,81.7,,L,XL
157.28,53.2,S,,S
175.77,66.8,,L,L
174.58,73.2,L,M,L
182.01,89.0,,L,XL
153.47,49.5,S,,S
167.85,63.6,M,L,M
186.63,101.3,,L,XXL
167.36,62.3,M,M,M
175.31,73.6,L,,L
177.15,84.9,L,L,XL
177.84,69.6,M,M,L
179.44,111.1,L,L,XXL
191.25,111.1,,,XXL
163.28,64.4,M,M,M
162.12,54.2,S,,S
169.38,62.6,M,L,M
169.05,64.7,M,L,M
182.62,84.3,L,L,XL
161.01,50.3,,M,S
160.81,52.5,S,S,S
156.55,52.5,M,S,S
168.89,59.4,M,M,M
183.92,102.5,L,,XXL
165.47,60.1,L,S,M
179.9,89.2,L,L,XL
166.42,63.4,M,M,M
174.93,74.2,M,M,L
171.8,59.2,,M,M
178.64,80.1,L,,XL
180.58,86.2,,L,XL
180.04,85.3,L,,XL
180.24,78.5,L,,XL
153.7,49.0,S,M,S
185.78,99.0,,,XXL
180.65,86.1,L,L,XL
173.08,86.2,,,XL
157.03,56.2,S,S,S
160.35,56.8,S,S,S
159.21,52.0,,M,S
175.35,72.9,,L,L
171.36,74.4,,M,L
157.97,50.1,M,M,S
169.26,66.4,S,M,M
183.35,112.3,L,L,XXL
152.34,48.3,S,M,S
178.1,72.9,L,L,L
191.24,108.8,,L,XXL
184.22,102.8,L,,XXL
158.86,45.4,S,S,S
188.82,99.6,L,L,XXL
164.05,53.5,S,S,S
158.36,56.4,M,S,S
186.96,101.9,L,L,XXL
168.23,63.8,M,,M
173.55,69.1,L,L,L
168.25,65.9,M,S,M
180.24,86.6,L,L,XL
154.11,52.1,,S,S
172.72,65.5,S,L,M
166.13,61.0,M,,M
176.92,72.8,,L,L
157.27,50.6,S,M,S
182.72,84.9,L,,XL
165.04,58.2,M,M,M
175.48,72.5,L,M,L
155.14,51.2,S,S,S
169.55,61.6,M,,M
183.41,89.1,L,L,XL
168.08,58.1,S,S,M
177.74,85.3,L,L,XL
174.36,72.7,M,M,L
175.1,75.6,M,,L
178.33,73.9,M,M,L
166.64,61.9,M,M,M
183.89,102.6,,L,XXL
184.9,104.7,,L,XXL
167.03,61.5,M,M,M
157.25,56.6,S,S,S
181.42,86.6,L,L,XL
165.44,57.5,S,M,M
177.94,103.8,L,,XXL
160.05,50.8,S,S,S
169.17,58.7,,M,M
179.17,107.3,L,L,XXL
175.41,77.9,,,L
182.71,110.2,L,,XXL
176.15,76.8,,,L
154.77,49.2,S,,S
171.74,72.5,L,,L
179.62,74.5,L,M,L
151.77,54.2,S,,S
156.91,55.0,M,S,S
174.01,70.3,M,L,L
160.18,53.4,S,S,S
154.54,52.0,S,,S
165.74,60.5,S,,M
176.72,75.3,L,M,L
173.84,68.0,L,L,L
165.11,64.0,S,L,M
171.37,60.8,L,M,M
176.02,69.4,M,,L
168.64,61.3,M,S,M
181.03,80.5,L,,XL
157.36,54.2,S,,S
183.21,88.6,L,L,XL
184.11,78.8,L,L,XL
168.15,60.1,M,S,M
157.99,48.0,S,,S
185.95,106.5,L,L,XXL
170.06,59.5,M,M,M
169.5,67.0,,M,M
187.2,110.1,L,,XXL
171.97,72.3,M,L,L
165.57,62.0,S,,M
168.82,62.6,L,S,M
176.86,73.3,M,M,L
180.45,83.3,L,L,XL
179.83,102.1,L,L,XXL
174.2,74.4,L,L,L
178.88,83.5,L,L,XL
167.86,61.6,,M,M
176.15,82.2,L,L,XL
166.25,60.6,L,M,M
184.23,85.4,L,L,XL
178.73,84.9,L,L,XL
179.97,74.0,M,,L
180.9,109.2,,L,XXL
164.69,60.6,,M,M
158.03,51.7,S,,S
179.53,100.0,L,,XXL
169.05,63.6,S,M,M
172.35,74.9,L,L,L
182.08,85.4,,L,XL
183.26,106.8,,L,XXL
164.48,63.3,,M,M
189.02,111.9,,L,XXL
169.67,60.9,L,S,M
159.83,54.3,S,S,S
175.62,75.3,L,,L
158.88,52.9,S,,S
176.13,74.2,M,M,L
163.34,63.8,M,M,M
161.04,54.8,S,,S
159.61,51.3,M,M,S
173.06,76.7,M,M,L
179.38,84.0,,L,XL
177.13,83.6,L,L,XL
168.53,62.9,,S,M
181.5,89.4,L,L,XL
182.74,82.0,L,L,XL
182.26,84.7,L,L,XL
176.27,75.5,M,L,L
177.37,75.3,M,M,L
164.46,62.4,L,L,M
156.38,53.3,,S,S
180.15,87.4,L,L,XL
153.1,53.9,,M,S
180.22,109.3,,,XXL
167.32,61.8,M,L,M
177.3,81.4,L,L,XL
176.14,67.7,L,,L
175.61,69.8,L,L,L
159.29,48.7,M,S,S
164.83,64.5,M,,M
170.61,57.2,S,M,M
156.22,54.3,S,,S
158.58,51.8,M,M,S
169.27,58.1,M,M,M
187.72,107.0,L,L,XXL
171.54,59.8,M,L,M
171.04,67.0,,L,M
177.38,86.2,,L,XL
180.04,82.1,L,L,XL
181.89,80.8,,L,XL
174.87,87.5,,,XL
168.15,62.4,L,L,M
175.99,72.1,L,L,L
158.99,54.5,M,,S
176.26,73.5,M,L,L
181.43,105.3,,L,XXL
183.98,102.1,L,L,XXL
174.63,70.6,L,M,L
156.45,53.5,S,S,S
180.07,94.7,,,XXL
179.11,84.8,,L,XL
174.35,70.8,M,L,L
154.73,48.9,S,S,S
155.12,48.0,S,S,S
161.94,63.3,M,M,M
175.4,77.9,,L,L
158.46,52.9,S,S,S
175.69,76.7,M,M,L
159.09,51.1,,M,S
170.17,62.6,,M,M
181.99,85.5,L,L,XL
167.18,58.8,L,,M
174.93,83.4,L,L,XL
174.67,72.3,L,M,L
155.55,55.6,,M,S
172.53,74.0,M,L,L
183.08,118.1,L,,XXL
179.3,72.7,M,M,L
154.53,53.9,S,,S
162.58,62.8,S,S,M
176.62,106.2,L,,XXL
156.37,52.2,S,,S
178.18,81.0,L,L,XL
165.89,62.1,S,M,M
160.35,60.6,M,,M
171.26,66.3,M,,M
167.57,61.8,L,M,M
165.12,66.2,S,S,M
187.76,100.4,,L,XXL
156.27,54.9,S,M,S
184.33,105.1,L,L,XXL
155.93,56.9,S,M,S
182.84,105.8,L,L,XXL
188.23,109.7,L,L,XXL
175.05,72.5,L,L,L
166.46,62.9,M,S,M
157.43,51.8,S,M,S
174.0,71.4,L,M,L
179.97,102.7,L,L,XXL
154.47,50.7,S,S,S
176.62,107.0,L,L,XXL
182.03,81.4,L,L,XL
173.12,73.8,L,L,L
171.77,65.6,S,M,M
178.39,70.3,L,L,L
172.98,59.8,M,M,M
176.06,71.7,L,L,L
182.53,103.4,L,L,XXL
178.7,83.5,L,L,XL
176.4,73.6,L,L,L
186.52,87.5,L,L,XL
172.96,88.4,,L,XL
157.22,52.4,,S,S
181.49,89.6,L,L,XL
167.29,65.2,M,M,M
166.32,67.5,S,M,M
157.65,51.3,,S,S
164.2,60.9,S,,M
166.79,66.0,S,M,M
183.86,102.5,,L,XXL
169.53,60.4,S,,M
168.28,62.0,M,M,M
174.68,69.9,L,M,L
172.13,84.8,,L,XL
181.51,81.3,L,L,XL
169.14,61.8,,S,M
180.54,107.0,L,L,XXL
155.74,54.3,S,,S
181.21,102.2,L,L,XXL
180.44,90.7,,,XL
170.32,64.1,S,M,M
169.55,59.7,M,,M
180.99,84.6,L,,XL
187.65,86.2,L,L,XL
187.25,112.3,L,L,XXL
175.54,68.1,M,M,L
188.6,100.3,L,,XXL
157.39,53.4,S,S,S
182.55,83.1,L,L,XL
181.42,87.6,,L,XL
181.91,109.1,L,,XXL
167.82,64.1,M,M,M
166.34,62.3,S,L,M
181.66,106.3,,,XXL
166.46,60.6,M,M,M
185.17,97.3,L,L,XXL
167.81,63.4,M,S,M
168.09,56.5,S,L,M
177.93,81.9,L,L,XL
176.17,91.2,L,L,XL
163.99,61.2,M,L,M
168.35,58.2,L,L,M
177.58,74.7,,M,L
178.13,72.5,L,L,L
175.29,70.1,L,L,L
177.5,71.9,L,M,L
157.93,53.9,S,S,S
174.02,72.5,M,M,L
175.96,72.0,,M,L
182.3,109.0,L,,XXL
190.21,107.9,L,L,XXL
178.63,88.5,L,L,XL
155.74,52.2,S,S,S
178.26,87.9,L,L,XL
182.13,108.0,,L,XXL
174.63,75.4,L,M,L
156.1,57.4,S,S,S
186.82,105.2,L,L,XXL
177.8,88.3,L,L,XL
171.45,71.5,M,M,L
189.03,103.7,L,L,XXL
179.77,91.1,L,L,XL
180.21,108.8,L,,XXL
181.57,104.5,L,,XXL
176.16,85.3,L,L,XL
182.68,101.5,L,L,XXL
179.77,87.1,,,XL
168.27,61.6,M,L,M
175.46,71.2,M,M,L
181.9,103.7,,L,XXL
159.37,47.6,M,,S
176.83,69.6,M,L,L
164.79,61.6,S,M,M
182.23,88.1,L,L,XL
170.19,62.7,,M,M
168.32,65.7,M,M,M
176.89,74.4,M,L,L
177.74,73.2,L,,XL
160.44,51.2,,M,S
180.46,83.6,,L,XL
175.78,88.0,L,L,XL
181.0,83.7,L,L,XL
158.63,48.1,S,S,S
181.24,86.6,L,L,XL
175.11,69.2,M,M,L
184.14,85.2,L,L,XL
174.2,85.0,L,L,XL
154.84,46.7,M,,S
174.15,84.6,L,L,XL
169.56,61.5,,L,M
177.31,77.1,L,M,L
157.92,52.6,M,S,S
180.93,85.3,L,L,XL
176.57,72.9,L,M,L
157.25,53.0,S,S,S
156.26,52.1,M,S,S
169.44,66.3,S,M,M
184.87,95.1,L,L,XXL
175.23,104.2,L,L,XXL
176.53,71.9,L,,L
167.2,60.7,M,L,M
190.02,80.9,,L,XL
181.06,85.4,L,L,XL
157.88,55.0,S,S,S
163.63,61.4,,,M
156.91,52.4,M,S,S
163.69,65.5,,M,M
175.85,85.6,L,L,XL
181.63,87.4,L,L,XL
176.7,67.3,L,L,L
176.71,73.4,M,M,L
173.13,74.4,M,M,L
183.03,83.7,,L,XL
187.58,87.2,L,L,XL
156.46,52.5,S,S,S
172.06,73.2,,,L
157.92,52.7,S,M,S
181.24,86.7,L,L,XL
154.81,49.2,S,M,S
165.11,67.1,M,M,M
187.0,104.3,L,L,XXL
174.04,70.1,L,,L
162.7,49.9,M,S,S
168.1,62.2,,M,M
176.49,71.0,M,M,L
180.2,116.5,L,L,XXL
176.52,82.8,L,L,XL
184.99,106.0,L,L,XXL
176.29,70.8,L,L,L
172.39,71.2,M,M,L
177.87,88.0,L,L,XL
178.97,89.1,L,,XL
168.77,61.5,,L,M
156.78,49.3,S,S,S
189.85,87.3,L,L,XL
178.87,77.0,M,L,L
157.03,55.8,M,M,S
163.09,64.8,M,L,M
189.97,99.2,L,L,XXL
174.64,83.9,L,L,XL
177.28,74.2,M,L,L
169.84,62.0,,M,M
165.0,63.6,M,,M
186.01,102.3,L,L,XXL
166.16,66.6,M,L,M
173.83,69.5,L,L,L
154.13,53.7,S,S,S
182.57,85.6,L,,XL
158.44,54.0,S,S,S
183.59,94.5,L,L,XL
178.85,85.9,L,,XL
169.62,61.9,,M,M
153.66,54.1,,M,S
182.32,109.1,L,,XXL
179.3,92.2,L,L,XL
185.75,105.3,L,L,XXL
167.89,62.3,L,M,M
177.8,90.1,L,L,XL
173.81,69.6,L,M,L
178.01,101.7,L,L,XXL
159.65,57.2,M,,S
167.69,56.6,M,L,M
166.47,63.2,,S,M
165.97,61.7,L,M,M
176.94,77.1,L,L,L
180.87,110.4,L,L,XXL
166.62,62.9,L,M,M
173.19,71.3,M,L,L
166.75,64.3,M,M,M
165.78,60.1,M,M,M
155.91,54.5,S,M,S
180.08,104.6,L,L,XXL
175.98,107.1,L,L,XXL
170.25,64.8,M,M,M
173.4,72.4,M,L,L
172.23,71.7,L,L,L
168.44,62.7,S,M,M
172.54,73.5,,L,L
170.0,66.5,L,,M
157.45,53.4,S,S,S
181.99,107.1,,L,XXL
181.46,84.9,L,L,XL
176.8,84.9,L,,XL
180.14,105.9,L,L,XXL
176.7,74.7,M,L,L
168.07,63.6,,M,M
176.74,75.0,L,,L
160.4,45.4,M,S,S
175.9,74.6,M,,L
171.23,65.5,L,M,M
167.05,64.9,M,S,M
177.72,91.3,L,L,XL
158.13,54.7,,S,S
177.92,91.7,L,,XL
152.35,52.5,M,S,S
172.12,62.9,M,M,M
155.33,50.8,,S,S
184.22,90.4,,,XL
175.09,69.6,L,M,L
173.37,85.6,L,,XL
154.16,52.9,,M,S
183.53,105.0,,L,XXL
166.67,58.9,M,S,M
183.0,85.5,L,L,XL
181.94,106.0,L,L,XXL
186.69,81.5,L,L,XL
184.82,84.2,L,L,XL
171.76,61.6,S,M,M
177.47,80.6,L,,XL
154.35,49.9,S,S,S
185.07,108.7,L,L,XXL
166.39,59.8,L,M,M
169.98,63.5,,L,M
155.96,53.2,S,S,S
183.22,104.5,L,L,XXL
184.77,87.0,L,L,XL
159.53,50.6,S,S,S
181.82,110.5,L,L,XXL
177.47,72.7,L,L,L
184.95,111.1,L,L,XXL
164.59,60.4,M,S,M
158.09,50.3,S,S,S
177.59,71.1,L,L,L
166.39,59.6,,M,M
154.18,48.8,S,S,S
169.46,58.3,,S,M
168.31,58.6,S,S,M
164.74,62.8,M,M,M
167.15,65.5,M,S,M
168.54,60.0,L,,M
171.58,75.5,M,L,L
181.84,86.3,L,,XL
183.97,102.4,L,L,XXL
154.6,52.5,M,M,S
182.34,105.8,L,L,XXL
174.79,79.0,,L,L
160.22,51.1,S,S,S
157.92,54.6,S,S,S
174.0,70.9,M,L,L
179.56,85.5,L,L,XL
157.41,51.7,S,S,S
159.64,51.2,S,S,S
192.39,108.8,,L,XXL
176.29,74.8,,L,L
171.65,64.6,L,,M
176.9,75.1,L,,L
156.63,51.3,S,M,S
183.85,106.5,L,,XXL
175.16,74.6,,,L
174.36,81.9,L,L,XL
177.94,85.5,L,L,XL
160.15,53.8,S,M,S
175.94,74.2,,M,L
184.6,109.0,,,XXL
179.79,104.3,,L,XXL
167.34,64.3,M,S,M
176.88,69.8,L,L,L
182.71,90.6,L,,XL
177.67,80.8,L,L,XL
168.71,63.0,,M,M
166.35,65.7,M,M,M
163.47,59.0,,M,M
182.34,85.8,,L,XL
163.94,64.6,L,,M
171.51,69.3,L,L,L
171.17,73.8,L,L,L
165.14,64.8,L,,M
178.88,70.9,L,,L
156.62,50.5,M,S,S
165.56,60.6,M,M,M
170.85,70.6,,M,L
161.67,50.7,M,S,S
168.38,60.3,M,,M
156.9,49.0,S,,S
157.11,52.0,S,,S
179.44,85.2,L,L,XL
183.58,100.4,,,XXL
151.89,50.1,S,S,S
180.03,108.3,L,L,XXL
154.79,49.8,S,S,S
183.76,100.9,,,XXL
150.93,53.6,,,S
175.35,71.7,L,,L
170.27,59.7,M,M,M
178.35,74.3,,,L
167.58,61.0,M,S,M
169.48,64.7,L,S,M
183.84,84.4,,L,XL
172.33,63.2,M,S,M
178.85,69.5,L,M,L
164.27,63.7,M,,M
179.6,73.9,,L,L
155.81,51.7,M,S,S
152.83,58.3,,S,S
176.56,85.8,,,XL
166.89,61.2,,L,M
170.44,62.3,M,M,M
180.54,85.8,L,,XL
183.25,77.7,,L,XL
181.54,82.2,L,L,XL
167.94,58.4,M,M,M
167.92,66.1,M,M,M
172.58,75.9,M,L,L
172.41,72.2,M,L,L
177.28,69.0,L,L,L
182.24,101.4,L,L,XXL
182.88,113.4,L,L,XXL
158.77,50.9,,S,S
176.82,68.8,,,L
173.96,80.4,L,,XL
162.92,64.3,L,S,M
179.7,83.8,,L,XL
169.64,60.3,L,M,M
158.74,53.5,S,S,S
159.68,56.8,S,S,S
159.97,51.5,S,M,S
188.92,104.8,L,,XXL
181.15,84.1,L,L,XL
177.95,72.4,,L,L
164.55,63.2,S,M,M
175.97,71.2,L,,L
177.83,71.2,L,L,L
160.3,52.0,S,S,S
174.93,82.0,,L,XL
174.3,72.1,L,L,L
184.31,82.1,L,L,XL
159.4,52.7,M,M,S
156.71,54.7,M,S,S
171.26,58.6,M,M,M
177.92,87.3,L,L,XL
185.81,106.9,L,,XXL
176.71,76.7,M,M,L
158.77,49.3,S,,S
156.03,55.0,S,S,S
177.52,110.1,L,L,XXL
166.3,62.6,L,,M
159.42,53.3,S,,S
167.49,61.3,S,L,M
159.19,49.4,S,S,S
183.18,99.1,L,L,XXL
176.61,85.5,L,L,XL
173.91,73.9,L,,L
181.47,86.5,L,L,XL
176.22,73.6,M,L,L
174.21,77.1,L,L,L
179.15,116.0,L,,XXL
177.37,80.5,L,L,XL
176.48,90.9,L,L,XL
184.35,79.2,L,L,XL
183.86,99.5,,,XXL
156.03,53.4,S,,S
173.92,70.1,L,L,L
181.78,102.3,L,L,XXL
177.76,86.5,L,L,XL
176.78,74.7,L,M,L
177.78,81.7,,L,XL
173.73,73.6,M,L,L
171.1,90.3,,L,XL
158.41,49.0,S,S,S
174.76,72.6,M,,L
176.88,75.1,L,L,L
155.15,54.5,S,M,S
179.79,108.6,L,,XXL
183.46,76.5,L,,XL
187.6,112.0,L,L,XXL
182.98,104.0,L,L,XXL
156.68,54.1,,S,S
158.6,49.5,S,S,S
173.87,70.3,L,M,L
164.11,64.9,,M,M
180.34,83.2,L,L,XL
159.57,54.1,,,S
172.32,85.4,,,XL
178.92,89.3,L,L,XL
175.49,82.9,L,L,XL
179.45,105.3,,L,XXL
165.21,60.8,M,L,M
179.26,69.1,,L,L
154.73,55.3,S,S,S
182.99,82.9,L,,XL
157.42,56.8,S,M,S
166.92,66.1,S,M,M
158.2,52.3,M,,S
175.81,88.9,L,L,XL
172.58,69.2,L,,L
183.56,82.0,L,L,XL
173.57,74.3,L,L,L
163.58,65.7,M,S,M
158.11,51.2,S,S,S
153.62,53.3,S,S,S
168.68,61.4,S,M,M
156.46,53.6,S,S,S
177.63,73.9,,L,L
164.89,59.2,M,M,M
173.26,85.0,L,,XL
167.0,62.7,M,M,M
155.01,50.5,M,M,S
157.69,50.8,M,S,S
156.12,58.4,S,S,S
155.25,48.3,S,S,S
176.63,87.0,L,L,XL
170.32,61.2,S,L,M
174.04,75.6,M,L,L
184.06,89.6,L,L,XL
162.83,62.3,M,M,M
170.44,73.8,M,M,L
