height,weight,chest_size,waist_size,size
165.15,61.1,M,M,M
156.8,50.4,S,S,S
156.62,50.7,L,M,S
171.79,73.6,L,L,L
189.02,105.9,,,XXL
155.77,56.5,,M,S
162.07,52.0,S,S,S
178.34,85.1,L,L,XL
175.56,92.0,L,L,XL
177.94,116.3,L,L,XXL
165.94,66.3,,M,M
168.75,65.3,M,S,M
176.93,77.7,L,L,L
182.46,89.9,,,XL
178.66,91.9,L,,XL
177.26,116.1,L,L,XXL
168.23,66.6,M,,M
153.46,53.8,,S,S
158.2,55.3,S,,S
177.66,80.6,M,M,L
153.24,49.9,M,,S
155.08,55.9,S,,S
183.73,106.5,L,L,XXL
169.37,68.8,L,M,M
177.41,76.5,L,L,L
177.6,90.4,L,,XL
158.47,52.6,S,M,S
153.03,53.6,S,M,S
171.87,74.4,L,,L
170.69,64.7,M,S,M
181.87,89.9,L,L,XL
179.6,82.8,M,L,L
180.4,79.0,M,L,L
185.83,102.1,L,,XXL
166.29,64.9,,M,M
158.95,53.6,S,S,S
166.54,69.4,L,L,M
173.14,81.3,M,L,L
158.44,51.8,L,L,S
165.81,64.5,M,M,M
167.6,62.3,S,M,M
184.19,103.2,L,L,XXL
160.01,53.3,L,S,S
164.36,62.9,S,,M
170.49,75.3,L,,L
157.31,55.2,S,S,S
173.3,79.0,L,L,L
181.1,104.7,L,,XXL
179.84,115.2,L,L,XXL
175.37,79.7,L,L,L
183.02,109.4,L,L,XXL
158.73,52.9,S,M,S
182.5,87.9,L,L,XL
168.48,61.8,L,M,M
179.53,73.5,M,L,L
182.52,109.6,L,L,XXL
170.94,78.1,L,L,L
170.74,64.2,,M,M
155.31,56.2,S,M,S
157.7,55.5,S,S,S
163.68,53.5,S,S,S
172.07,70.5,L,L,L
178.66,92.5,L,L,XL
153.38,54.3,S,M,S
182.15,102.9,L,L,XXL
163.2,51.4,S,,S
161.1,53.0,,S,S
172.38,93.2,L,L,XL
157.1,56.7,L,S,S
176.56,90.2,L,L,XL
166.72,63.0,M,M,M
173.11,72.8,L,L,L
177.63,94.8,L,L,XL
156.79,52.6,S,M,S
180.48,95.7,,L,XL
168.89,76.6,L,M,L
172.94,92.6,L,L,XL
170.66,63.5,L,S,M
157.31,52.7,,S,S
161.36,51.0,,L,S
170.2,68.8,L,M,M
173.86,76.9,M,L,L
162.22,53.2,S,M,S
167.73,76.6,M,L,L
175.74,76.9,L,L,L
161.83,50.2,M,,S
157.78,51.7,S,M,S
168.94,80.4,L,M,L
171.08,77.8,M,M,L
187.58,102.8,L,L,XXL
168.38,80.7,L,L,L
182.17,89.3,,L,XL
173.57,76.8,L,,L
165.36,61.3,M,M,M
176.65,95.1,,,XL
179.7,89.5,L,L,XL
157.76,53.1,,,S
179.98,109.9,L,L,XXL
171.86,76.9,L,L,L
179.19,96.4,L,L,XXL
174.81,79.0,L,M,L
179.04,91.3,M,L,XL
173.33,88.7,L,L,XL
173.07,77.8,,L,L
179.44,110.9,,,XXL
160.07,49.2,M,,S
176.84,75.4,L,L,L
184.35,109.0,L,L,XXL
158.23,51.4,S,S,S
172.74,79.7,M,L,L
180.22,96.1,L,L,XL
168.84,73.0,L,,L
173.73,78.4,,,L
164.89,60.8,M,M,M
169.17,61.4,M,S,M
155.83,56.2,S,S,S
155.69,51.6,,,S
166.59,64.6,M,S,M
156.37,50.5,S,S,S
158.2,52.8,S,S,S
177.93,90.3,L,L,XL
168.8,65.4,M,M,M
153.66,50.0,S,S,S
170.91,94.2,L,M,XL
163.4,67.8,M,,M
175.14,90.8,M,L,XL
164.45,62.6,L,M,M
162.25,55.9,S,S,S
173.87,74.4,L,,L
168.33,109.6,L,L,XXL
172.9,67.8,M,M,M
174.31,62.5,L,L,M
171.13,75.1,L,M,L
168.58,67.0,M,S,M
175.17,106.8,,L,XXL
163.74,63.5,,M,M
170.98,77.5,M,L,L
156.38,52.7,S,S,S
175.87,76.4,L,L,L
159.79,52.6,L,S,S
188.03,114.6,L,L,XXL
154.47,54.8,M,M,S
172.01,73.4,L,M,M
185.43,119.4,,L,XXL
165.35,65.9,M,M,M
160.32,50.7,M,S,S
175.04,94.1,L,L,XL
168.37,61.1,L,M,M
171.11,66.7,S,M,M
177.37,110.7,L,L,XXL
167.26,63.6,M,L,M
185.24,103.6,L,L,XXL
172.17,74.1,L,L,L
179.35,117.7,L,L,XXL
173.36,77.9,L,M,L
168.83,66.3,S,M,M
173.54,75.4,L,L,L
174.8,77.3,,L,L
158.72,49.7,S,S,S
169.21,77.5,L,L,L
165.66,62.2,M,M,M
156.25,55.7,S,S,S
175.18,80.2,L,L,L
182.08,95.5,L,,XL
187.27,107.9,L,L,XXL
176.05,89.9,L,L,XL
173.76,77.6,L,L,L
177.56,99.4,L,,XL
156.66,55.3,S,S,S
176.02,78.8,L,M,L
179.97,94.6,L,L,XL
163.55,67.4,L,M,M
181.2,95.2,L,L,XL
163.25,64.8,M,L,M
174.88,89.5,L,L,XL
157.92,49.9,S,S,S
185.77,115.5,L,L,XXL
174.71,90.0,L,L,XL
166.29,68.4,,M,M
180.74,88.2,L,L,XL
179.87,108.6,L,L,XXL
182.47,89.2,L,,XL
177.05,94.3,L,L,XL
159.08,54.5,S,L,S
168.06,66.8,M,L,M
169.74,63.1,S,M,M
185.22,113.3,L,L,XXL
177.69,91.5,L,L,XL
158.15,54.2,,S,S
180.79,93.1,L,M,XL
180.97,93.3,L,L,XL
168.82,65.8,M,M,M
187.44,113.4,L,L,XXL
168.29,61.9,M,S,M
179.44,92.0,L,L,XL
173.13,81.1,M,L,L
157.99,56.6,M,,S
158.23,50.8,S,L,S
170.96,74.9,M,M,L
154.51,53.4,,M,S
173.83,90.4,M,M,XL
165.91,63.5,M,M,M
174.27,83.0,L,L,L
177.0,75.0,L,,L
169.54,81.5,L,L,L
155.11,51.0,S,S,S
158.88,58.5,S,S,S
166.44,72.5,L,L,L
175.02,77.1,L,L,L
176.82,71.4,M,L,L
188.05,112.1,,L,XXL
179.11,100.5,L,L,XXL
177.1,93.5,L,,XL
180.91,108.3,L,L,XXL
172.75,76.9,,L,L
160.59,53.7,S,,S
186.52,111.3,L,,XXL
169.71,89.0,M,L,XL
177.85,90.5,L,,XL
160.19,51.3,M,S,S
165.73,67.6,M,M,M
180.47,113.4,L,L,XXL
175.48,92.4,L,L,XL
171.23,78.9,L,L,L
154.48,51.1,S,L,S
166.65,64.3,M,M,M
177.29,90.8,L,L,XL
177.34,80.7,,L,L
181.13,110.1,L,L,XXL
170.93,77.7,M,,L
162.78,54.5,S,S,S
182.59,87.4,L,L,XL
180.69,114.0,L,L,XXL
168.01,63.6,,M,M
179.75,92.7,L,L,XL
157.91,46.8,,M,S
183.23,106.5,L,L,XXL
158.72,57.7,S,S,S
182.96,99.3,L,L,XXL
156.88,57.5,S,S,S
177.68,78.2,,L,L
178.51,94.4,L,L,XL
184.01,110.1,L,L,XXL
190.71,118.2,,L,XXL
181.09,90.0,L,L,XL
183.14,104.5,L,L,XXL
176.34,90.6,L,L,XL
163.45,64.7,,M,M
166.77,63.2,M,M,M
178.31,96.3,L,L,XL
183.2,108.5,L,L,XXL
185.8,106.2,L,L,XXL
167.7,61.7,M,M,M
188.86,107.9,L,L,XXL
176.04,87.2,L,L,XL
181.4,91.2,L,,XL
169.83,64.2,M,S,M
177.44,76.9,M,L,L
181.62,113.4,L,L,XXL
175.52,75.5,L,M,L
178.85,86.9,L,L,XL
174.32,92.3,L,,XL
177.01,76.4,M,M,L
165.99,62.4,L,M,M
186.73,106.5,,L,XXL
174.67,76.2,L,,L
157.73,52.9,S,,S
157.49,53.1,S,S,S
158.1,55.9,S,M,S
157.09,50.4,L,S,S
160.43,52.4,S,,S
176.51,87.0,L,,XL
177.91,90.8,L,M,XL
180.56,110.6,L,L,XXL
176.2,76.6,M,M,L
159.32,57.6,,S,S
159.82,50.0,M,S,S
152.33,50.8,S,S,S
167.77,68.7,S,,M
173.4,80.6,L,L,L
178.49,88.4,,L,XL
170.71,77.3,L,,L
169.1,60.3,M,M,M
178.12,76.0,L,L,L
184.83,108.6,L,L,XXL
166.22,67.3,M,M,M
176.06,78.9,L,M,L
164.94,67.3,M,M,M
176.6,92.6,L,L,XL
159.08,51.2,S,M,S
169.38,65.3,M,M,M
177.46,95.2,L,,XL
159.17,52.9,S,S,S
177.24,90.4,L,L,XL
164.35,66.4,M,M,M
158.12,53.5,L,S,S
171.79,66.0,M,M,M
175.98,77.4,M,L,L
161.24,66.6,L,L,M
183.16,114.8,L,L,XXL
178.94,76.8,L,L,L
183.94,112.0,L,L,XXL
154.35,61.2,S,,S
174.15,73.8,L,L,L
184.45,100.0,,L,XXL
173.56,73.4,L,L,L
177.9,92.8,M,L,XL
189.87,109.8,L,L,XXL
174.82,87.4,M,L,XL
156.98,56.1,S,L,S
184.49,113.6,L,L,XXL
176.21,87.7,L,L,XL
172.06,75.1,M,,L
159.55,51.7,L,S,S
171.11,78.2,L,L,L
158.29,55.2,S,,S
169.56,75.5,L,M,L
172.21,81.1,M,M,L
173.55,91.5,L,,XL
173.64,77.7,L,L,L
158.9,55.5,S,,S
162.59,58.5,M,,S
173.53,75.4,M,L,L
169.6,60.3,M,M,M
166.99,66.5,L,M,M
171.44,70.1,L,,L
156.73,52.9,M,M,S
155.48,52.1,L,S,S
180.69,115.3,L,L,XXL
168.6,66.3,M,L,M
166.98,66.9,M,L,M
155.49,51.0,S,S,S
160.06,52.7,S,L,S
187.58,121.2,,L,XXL
167.52,69.9,M,M,M
165.59,64.2,M,M,M
169.42,75.0,M,L,L
173.45,76.0,L,M,L
168.36,63.7,M,,M
181.26,116.0,L,L,XXL
179.94,102.3,L,L,XXL
168.56,66.8,M,M,M
173.48,87.1,L,L,XL
175.86,90.5,L,L,XL
157.68,49.1,,S,S
174.08,103.1,L,,XXL
167.66,61.0,M,,M
174.59,83.8,L,L,XL
182.15,108.0,L,L,XXL
177.41,88.4,L,L,XL
182.63,114.9,L,,XXL
155.59,54.1,L,S,S
167.7,66.7,M,L,M
170.79,65.1,L,,M
173.34,95.2,L,L,XL
158.38,57.0,S,,S
173.49,63.8,M,M,M
180.19,92.2,,L,XL
177.42,89.8,L,L,XL
176.03,74.7,L,M,L
186.01,103.8,L,,XXL
153.49,53.8,,M,S
167.11,83.4,L,L,L
178.0,74.4,L,L,L
179.39,76.0,L,L,L
172.2,75.6,M,M,L
180.72,78.6,L,M,L
169.42,76.1,L,M,L
178.66,94.3,M,L,XL
177.08,90.7,L,,XL
170.77,62.1,M,M,M
179.43,88.3,L,L,XL
183.35,105.6,L,L,XXL
170.26,76.9,M,M,L
176.98,80.2,M,,L
171.85,76.4,,,L
168.17,66.3,,,M
156.52,55.2,L,L,S
169.26,66.9,M,M,M
174.02,76.3,L,L,L
171.51,65.6,S,M,M
160.43,47.5,S,S,S
177.5,90.8,,L,XL
173.28,91.1,L,L,XL
173.96,75.6,L,M,L
161.21,56.9,,S,S
179.49,94.8,L,L,XL
166.69,68.0,M,M,M
173.04,75.9,M,L,L
179.88,89.1,L,L,XL
169.08,75.4,L,L,L
165.38,65.2,M,M,M
187.28,117.4,L,,XXL
177.99,88.2,L,L,XL
177.19,77.4,L,M,L
156.02,54.9,S,S,S
153.6,51.8,S,S,S
164.83,62.8,M,M,M
176.88,92.9,L,L,XL
153.58,51.4,,,S
175.73,78.0,L,,L
167.75,78.7,,M,L
179.97,89.1,L,L,XL
176.79,89.4,L,L,XL
159.45,50.7,L,,S
168.67,78.9,L,L,L
180.38,102.7,L,L,XXL
177.35,87.7,L,L,XL
184.92,110.9,L,L,XXL
170.46,74.3,L,L,L
182.79,89.1,L,M,XL
174.0,74.9,L,L,L
159.96,53.0,M,M,S
171.89,74.8,L,,L
158.01,51.1,S,S,S
156.38,54.2,M,,S
158.95,54.2,S,M,S
171.87,64.4,,L,M
171.95,77.6,L,,L
184.39,108.4,L,L,XXL
176.65,112.8,L,L,XXL
160.69,54.5,,S,S
180.04,109.3,L,L,XXL
178.45,110.9,L,L,XXL
167.71,61.9,M,L,M
175.81,85.1,M,,L
155.23,54.1,S,L,S
179.82,93.0,,L,XL
155.45,49.5,S,S,S
167.87,64.9,M,,M
159.16,51.3,S,S,S
183.8,117.0,L,L,XXL
166.85,67.1,M,M,M
164.48,54.5,,S,S
171.81,77.5,M,,L
169.39,81.3,M,L,L
154.79,55.9,S,M,S
164.54,60.5,M,L,M
184.19,86.6,L,L,XL
188.19,117.4,,L,XXL
176.21,87.8,M,L,XL
164.96,68.2,M,M,M
173.23,77.6,M,L,L
169.8,64.7,M,L,M
176.96,90.4,L,L,XL
178.78,105.4,L,L,XXL
161.22,50.5,M,S,S
159.29,52.2,L,S,S
155.96,50.9,S,S,S
170.37,68.8,M,M,M
179.17,93.7,L,L,XL
177.79,91.1,L,,XL
179.21,89.6,L,L,XL
182.09,107.3,L,L,XXL
170.7,78.3,M,L,L
180.06,109.3,,L,XXL
158.36,54.4,S,S,S
180.48,106.5,L,,XXL
160.61,52.6,L,S,S
178.87,110.0,L,,XXL
158.0,50.9,S,S,S
173.49,74.2,L,L,L
170.99,77.2,M,,L
165.49,70.1,,L,M
177.77,92.6,L,L,XL
179.66,90.7,L,L,XL
158.76,52.2,S,,S
188.36,112.0,L,L,XXL
187.85,112.8,L,L,XXL
181.61,92.5,L,L,XL
176.02,76.2,L,L,L
175.25,94.5,L,,XL
178.68,99.7,L,L,XXL
174.97,91.8,L,,XL
175.35,96.3,L,L,XL
172.63,75.9,L,L,L
176.38,76.4,L,L,L
166.4,69.0,S,M,M
180.51,105.4,L,L,XXL
185.36,114.6,L,,XXL
181.95,111.2,L,L,XXL
165.85,63.2,M,M,M
179.15,92.6,L,L,XL
168.41,68.5,,,M
161.07,52.8,S,S,S
167.57,65.4,M,,M
170.18,62.6,S,M,M
177.38,86.6,L,L,XL
171.2,76.8,L,,L
171.75,62.9,S,L,M
179.07,89.8,,L,XL
179.08,86.7,L,L,XL
159.51,48.7,S,L,S
173.52,77.6,M,L,L
180.44,111.2,L,L,XXL
171.13,77.9,M,,L
171.28,66.0,M,,M
176.15,78.4,M,L,L
167.07,64.8,,M,M
181.81,92.4,L,L,XL
181.03,104.2,L,L,XXL
163.5,49.1,S,S,S
159.16,51.9,,S,S
167.14,64.3,M,,M
174.63,79.1,L,L,L
163.18,64.9,M,L,M
171.89,76.3,L,L,L
165.83,66.6,S,L,M
174.79,86.9,L,L,XL
175.09,74.9,L,M,L
168.15,66.5,M,L,M
156.94,52.6,S,S,S
168.15,64.1,L,,M
159.01,52.7,M,S,S
179.21,121.8,L,L,XXL
171.47,75.3,L,M,L
173.83,97.0,L,L,XL
179.03,77.2,L,M,L
179.27,78.8,L,M,L
160.98,50.5,S,S,S
185.23,110.9,L,L,XXL
169.81,65.9,M,M,M
183.93,112.9,,L,XXL
157.86,50.0,S,S,S
168.97,65.8,M,M,M
170.23,64.9,L,M,M
171.24,62.2,M,M,M
160.79,51.6,S,S,S
168.0,65.3,L,M,M
158.84,51.7,S,L,S
174.48,76.3,,L,L
178.42,75.6,M,L,L
177.23,108.7,L,L,XXL
158.84,49.6,S,,S
189.96,106.7,L,L,XXL
171.33,94.3,L,M,XL
182.13,90.7,L,L,XL
167.95,67.4,,M,M
170.55,78.2,M,M,L
179.78,101.4,L,L,XXL
179.11,91.6,L,,XL
165.51,61.2,S,M,M
187.77,105.0,,L,XXL
176.68,92.6,L,,XL
156.64,52.5,S,S,S
174.09,76.4,L,M,L
182.62,118.4,L,L,XXL
168.78,62.8,L,M,M
176.23,114.0,L,L,XXL
171.18,76.6,M,L,L
174.41,77.5,L,L,L
183.67,94.5,L,L,XL
161.45,53.9,S,M,S
192.52,108.7,L,L,XXL
181.49,90.4,L,L,XL
174.34,76.5,,L,L
178.92,86.7,L,M,XL
177.3,78.0,L,L,L
161.03,54.1,S,,S
174.22,79.2,L,,L
173.24,63.9,M,M,M
158.0,52.7,M,S,S
172.07,64.9,M,L,M
173.28,74.5,L,L,L
177.1,77.3,,L,L
172.64,73.8,L,L,L
164.67,65.9,L,M,M
160.22,53.8,S,S,S
175.15,78.8,L,M,L
164.54,65.4,L,L,M
178.13,75.4,L,L,L
169.31,76.9,L,M,L
171.43,75.2,L,M,L
177.77,79.6,M,L,L
166.22,63.9,L,L,M
170.54,65.4,M,,M
172.97,75.6,L,L,L
153.51,54.8,M,S,S
170.42,75.8,L,L,L
168.61,69.3,,M,M
166.91,66.8,,L,M
163.72,56.4,L,S,S
169.71,77.6,L,L,L
175.97,103.2,L,L,XXL
172.18,77.1,L,L,L
185.72,90.1,,L,XL
164.94,67.4,M,L,M
182.11,115.6,L,L,XXL
165.3,59.0,L,M,M
157.09,52.1,L,,S
173.26,77.1,M,L,L
184.98,106.5,L,L,XXL
184.63,110.9,L,L,XXL
175.04,76.1,L,L,L
172.37,78.4,L,L,L
172.87,102.2,L,L,XXL
152.53,54.2,S,,S
162.15,65.1,,M,M
169.25,78.9,L,M,L
179.54,76.3,L,M,L
187.34,93.1,L,L,XXL
177.25,92.4,,L,XL
166.51,66.7,,M,M
186.42,117.9,L,L,XXL
160.78,53.2,M,S,S
156.47,50.2,M,M,S
172.73,78.0,M,L,L
168.59,65.2,,L,M
182.36,108.1,L,L,XXL
159.5,48.1,S,,S
164.6,65.3,M,M,M
178.21,91.8,L,L,XL
162.24,54.6,S,S,S
174.01,96.5,M,L,XL
154.67,47.1,S,M,S
165.02,65.5,S,M,M
183.68,113.6,L,,XXL
161.85,52.6,S,S,S
159.56,54.1,,S,S
174.22,78.6,L,L,L
157.92,51.5,S,S,S
166.31,62.8,M,,M
168.88,58.1,S,M,M
156.12,49.4,S,S,S
174.4,63.7,M,M,M
171.33,90.5,L,L,XL
166.08,63.3,L,L,M
175.56,90.6,L,M,XL
157.39,54.2,S,M,S
160.35,49.6,,S,S
181.91,115.3,L,L,XXL
180.84,89.5,M,L,XL
180.2,95.8,L,L,XL
183.67,113.1,L,L,XXL
182.54,101.0,L,L,XXL
179.66,112.6,L,L,XXL
170.06,64.0,M,M,M
183.36,92.7,L,L,XL
166.11,61.1,M,,M
160.83,51.5,S,M,S
171.47,76.9,M,L,L
166.56,65.8,L,M,M
167.76,66.2,L,S,M
185.1,105.1,L,,XXL
180.3,109.5,L,L,XXL
172.49,76.4,L,L,L
176.23,94.9,L,L,XL
177.48,91.1,L,L,XL
166.6,61.9,M,M,M
189.62,112.2,L,L,XXL
189.97,109.3,L,L,XXL
161.4,51.9,M,S,S
159.02,50.0,,S,S
166.01,61.7,S,S,M
179.56,91.6,L,L,XL
160.38,52.6,S,M,S
156.64,48.3,S,L,S
157.29,55.1,S,S,S
182.91,109.8,,L,XXL
177.83,85.4,L,L,XL
158.12,48.1,,,S
175.99,115.7,L,,XXL
158.86,52.4,S,S,S
157.95,55.1,S,S,S
184.04,106.6,L,L,XXL
154.73,54.7,L,M,S
158.0,53.9,S,M,S
164.44,66.3,L,M,M
169.04,73.9,L,L,L
171.08,79.3,L,L,L
173.4,63.8,L,L,M
169.88,66.6,,M,M
157.44,50.4,S,S,S
166.55,64.4,S,L,M
170.44,94.0,L,L,XL
165.99,67.6,M,M,M
157.83,48.8,L,M,S
175.73,75.3,M,M,L
157.97,53.8,M,S,S
169.02,64.1,,M,M
179.79,94.3,L,L,XL
159.02,52.2,S,S,S
182.07,111.7,,L,XXL
184.33,109.1,L,L,XXL
191.91,104.8,L,L,XXL
173.81,77.4,L,L,L
156.91,49.8,S,,S
176.45,83.2,M,L,L
183.24,113.0,L,L,XXL
181.63,110.3,L,L,XXL
177.71,91.4,M,L,XL
162.3,53.4,S,,S
160.16,52.9,L,,S
172.46,80.2,,L,L
172.63,92.8,L,,XL
165.4,60.7,M,M,M
177.81,89.9,L,L,XL
164.06,62.7,,M,M
155.46,51.0,M,S,S
170.58,77.7,,L,L
156.82,51.2,S,,S
187.78,112.6,L,L,XXL
181.81,93.5,M,L,XL
176.7,89.9,L,L,XL
181.72,83.4,L,L,L
178.64,91.8,L,L,XL
183.56,110.0,L,L,XXL
163.41,49.8,S,S,S
165.1,64.9,M,M,M
175.82,101.0,L,,XXL
186.69,111.7,L,L,XXL
173.25,91.0,L,,XL
157.41,56.1,S,S,S
172.65,73.7,,M,L
159.78,55.2,S,,S
177.95,88.8,L,,XL
167.04,67.5,M,M,M
181.6,92.0,L,L,XL
154.19,53.7,S,M,S
173.86,80.6,L,L,L
162.45,56.0,M,M,S
183.23,103.7,L,L,XXL
166.58,69.5,M,M,M
164.47,65.0,M,,M
184.28,89.3,L,L,XL
166.62,64.8,S,M,M
186.56,102.9,L,L,XXL
153.68,54.5,S,S,S
165.77,64.0,L,M,M
176.52,90.9,M,L,XL
180.34,110.5,L,L,XXL
160.63,51.3,S,L,S
160.72,58.1,S,M,S
157.44,53.0,S,M,S
158.39,52.1,S,M,S
175.85,87.8,,L,XL
181.93,88.2,L,L,XL
170.13,74.6,L,L,L
151.48,55.3,,,S
173.44,92.3,L,L,XL
161.6,55.5,L,S,S
159.8,51.6,,L,S
168.48,70.6,L,,M
170.66,76.5,L,,L
178.88,111.5,L,L,XXL
170.11,63.2,M,,M
174.99,75.8,L,L,L
175.33,81.1,L,,L
178.48,109.9,,L,XXL
157.81,53.5,,S,S
176.92,92.0,L,L,XL
159.1,53.1,S,L,S
177.62,99.8,L,L,XXL
170.12,76.2,L,L,L
166.29,68.2,L,,M
181.01,92.7,L,L,XL
184.66,119.8,,L,XXL
160.42,47.3,S,S,S
176.02,75.8,,L,L
178.64,91.1,L,L,XL
154.21,51.5,S,M,S
166.46,70.4,L,M,M
163.84,66.3,L,M,M
181.13,88.2,L,,XL
185.55,108.7,,L,XXL
172.34,71.5,L,L,L
155.76,50.6,S,S,S
168.37,68.4,L,M,M
173.91,77.7,L,L,L
153.02,48.2,S,S,S
175.14,77.8,L,L,L
175.41,79.6,L,L,L
166.0,62.1,S,M,M
175.76,94.9,,L,XL
172.22,76.9,L,L,L
187.17,104.5,L,L,XXL
176.43,88.5,,L,XL
167.48,63.5,S,S,M
187.27,105.3,L,L,XXL
158.32,52.4,M,S,S
161.14,54.4,L,S,S
168.16,79.1,L,L,L
178.18,124.1,,L,XXL
176.26,89.5,,L,XL
175.83,77.7,L,L,L
180.7,114.9,L,L,XXL
159.26,55.1,,,S
161.96,50.2,S,S,S
155.63,51.7,,M,S
165.22,67.5,L,M,M
166.9,65.5,S,,M
172.06,68.8,L,,M
155.51,48.3,L,S,S
171.35,63.9,S,M,M
182.99,106.9,L,L,XXL
157.65,54.9,S,S,S
159.15,52.1,L,S,S
159.31,53.4,M,L,S
157.81,54.1,L,S,S
165.45,61.3,L,M,M
168.07,79.5,L,,L
160.67,50.2,S,M,S
175.63,73.0,L,M,L
176.82,93.1,L,M,XL
160.01,49.2,L,,S
166.03,68.2,M,L,M
172.41,65.7,L,M,M
176.82,108.8,L,L,XXL
176.86,93.7,L,L,XL
164.27,68.0,M,S,M
178.98,76.7,L,,L
175.59,115.6,L,L,XXL
178.7,70.5,M,M,L
179.41,91.2,L,L,XL
169.26,67.7,,S,M
158.19,51.5,S,M,S
175.34,89.8,L,L,XL
172.59,79.2,M,M,L
158.41,51.7,L,,S
157.55,52.9,M,S,S
157.65,54.1,M,,S
168.3,67.0,M,M,M
172.4,80.2,,M,L
184.15,97.6,L,,XL
157.49,50.9,S,S,S
172.32,75.2,,M,L
158.0,52.3,S,S,S
161.89,49.1,,L,S
174.57,73.0,L,L,L
170.16,73.2,L,M,L
160.34,49.7,S,S,S
180.61,90.3,,M,XL
185.07,113.0,L,L,XXL
167.33,68.4,M,S,M
162.05,54.8,M,M,S
173.53,80.8,L,L,L
178.57,109.6,L,L,XXL
168.98,72.2,L,L,L
170.95,66.7,M,M,M
160.43,49.7,S,,S
153.88,54.1,S,S,S
